ACCESSION;ORGANISM;COUNTRY;COLLECTION_DATE;COLLECTED_BY;SPECIMEN_VOUCHER
MG590296.1;Goura victoria;Indonesia: Biak Island, Geelvink Bay;1896;W.M. Doherty;AMNH:SKIN 616631
MG590301.1;Goura victoria;Papua New Guinea: Utai, Bewani Mountains;1966;J.M. Diamond;AMNH:SKIN 828847
MG590302.1;Goura victoria;Papua New Guinea: Ambunti;1966;n/a;ANWC:B07008
MG590286.1;Goura sclaterii;Indonesia: Cape Steenboon, Carstenz range;1971;n/a;ANWC:B14301
MG590293.1;Goura victoria;Indonesia: Bernhard Camp (along Idenburg River);1939;n/a;AMNH:SKIN 339063
KY974348.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
KY974335.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
MG590271.1;Goura cristata;Indonesia: Triton Bay;1896;C. Webster;AMNH:SKIN 616602
KY974360.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
KC489474.1;Ectopistes migratorius;n/a;n/a;n/a;BMNH1389
NC_031864.1;Raphus cucullatus;n/a;n/a;n/a;n/a
KY974338.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
MG590273.1;Goura cristata;Indonesia: Waigeo Island (Majalibit Bay);1925;W.J. Frost;AMNH:SKIN 616612
KX902243.1;Ectopistes migratorius;n/a;n/a;n/a;FMNH:47395
MG590290.1;Goura victoria;Papua New Guinea: Ramu River (Botbot);1920;W. Potter;NHMUK:1921.12.30.38
KY974367.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
MG590282.1;Goura scheepmakeri;Papua New Guinea: Lohiki/Vailala River junction;1966;n/a;ANWC:B03514
KY974343.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
MG590279.1;Goura sclaterii;Indonesia: Utakwa River;1912;BOU;NHMUK:1911.12.20.47
NC_031866.1;Didunculus strigirostris;n/a;n/a;n/a;n/a
MG590268.1;Goura cristata;Indonesia: Misool Island;1860;C. Allen;NHMUK:1873.5.12.2386
KX902244.1;Ectopistes migratorius;n/a;n/a;n/a;FMNH:47397
KY974340.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
