HOG	OG	Gene Tree Parent Clade	KX902238.1	MG590288.1	NC_027947.1	NC_031864.1	NC_031865.1	NC_031866.1	NC_031869.1	NC_036613.1	NC_042502.1
N6.HOG0000000	OG0000000	n0		ATZ69240.1|ND1|NADH			YP_009318402.1|ND1|NADH				
N6.HOG0000001	OG0000001	n0		ATZ69239.1|ND2|NADH			YP_009318403.1|ND2|NADH				
N6.HOG0000002	OG0000002	n0		ATZ69236.1|COX1|cytochrome			YP_009318404.1|COX1|cytochrome				
N6.HOG0000003	OG0000003	n0		ATZ69242.1|COX2|cytochrome			YP_009318405.1|COX2|cytochrome				
N6.HOG0000004	OG0000004	n0		ATZ69247.1|ATP8|ATP			YP_009318406.1|ATP8|ATP				
N6.HOG0000005	OG0000005	n0		ATZ69243.1|ATP6|ATP			YP_009318407.1|ATP6|ATP				
N6.HOG0000006	OG0000006	n0		ATZ69241.1|COX3|cytochrome			YP_009318408.1|COX3|cytochrome				
N6.HOG0000007	OG0000007	n0		ATZ69245.1|ND3|NADH			YP_009318409.1|ND3|NADH				
N6.HOG0000008	OG0000008	n0		ATZ69246.1|ND4L|NADH			YP_009318410.1|ND4L|NADH				
N6.HOG0000009	OG0000009	n0		ATZ69237.1|ND4|NADH			YP_009318411.1|ND4|NADH				
N6.HOG0000010	OG0000010	n0		ATZ69235.1|ND5|NADH			YP_009318412.1|ND5|NADH				
N6.HOG0000011	OG0000011	n0		ATZ69238.1|CYTB|cytochrome			YP_009318413.1|CYTB|cytochrome				
N6.HOG0000012	OG0000012	n0		ATZ69244.1|ND6|NADH			YP_009318414.1|ND6|NADH				
