HOG	OG	Gene Tree Parent Clade	LN589993.1	LN589994.2	MG590267.1	MG590268.1	MG590269.1	MG590270.1	MG590271.1	MG590272.1	MG590273.1	MG590274.1	MG590275.1	MG590277.1	MG590278.1	MG590279.1	MG590280.1	MG590281.1	MG590282.1	MG590283.1	MG590284.1	MG590285.1	MG590286.1	MG590287.1	MG590288.1	MG590289.1	MG590290.1	MG590291.1	MG590292.1	MG590293.1	MG590294.1	MG590295.1	MG590296.1	MG590297.1	MG590298.1	MG590299.1	MG590300.1	MG590301.1	MG590302.1	NC_027947.1	NC_031865.1	NC_036613.1
N34.HOG0000000	OG0000000	n0	CEF52441.1|nad1|NADH																							ATZ69253.1|ND1|NADH					ATZ69318.1|ND1|NADH				ATZ69370.1|ND1|NADH							
N34.HOG0000001	OG0000001	n0	CEF52442.1|nad2|NADH																							ATZ69252.1|ND2|NADH					ATZ69317.1|ND2|NADH				ATZ69369.1|ND2|NADH							
N34.HOG0000002	OG0000002	n0	CEF52443.1|cox1|cytochrome																							ATZ69249.1|COX1|cytochrome					ATZ69314.1|COX1|cytochrome				ATZ69366.1|COX1|cytochrome							
N34.HOG0000003	OG0000003	n0	CEF52444.1|cox2|C-terminal																							ATZ69255.1|COX2|cytochrome					ATZ69320.1|COX2|cytochrome				ATZ69372.1|COX2|cytochrome							
N34.HOG0000004	OG0000004	n0	CEF52445.1|atp8|ATP																							ATZ69260.1|ATP8|ATP					ATZ69325.1|ATP8|ATP				ATZ69377.1|ATP8|ATP							
N34.HOG0000005	OG0000005	n0	CEF52446.1|atp6|ATP																							ATZ69256.1|ATP6|ATP					ATZ69321.1|ATP6|ATP				ATZ69373.1|ATP6|ATP							
N34.HOG0000006	OG0000006	n0	CEF52447.1|cox3|cytochrome																							ATZ69254.1|COX3|cytochrome					ATZ69319.1|COX3|cytochrome				ATZ69371.1|COX3|cytochrome							
N34.HOG0000007	OG0000007	n0	CEF52448.1|nad3|NADH																							ATZ69258.1|ND3|NADH					ATZ69323.1|ND3|NADH				ATZ69375.1|ND3|NADH							
N34.HOG0000008	OG0000008	n0	CEF52449.1|nad4L|NADH																							ATZ69259.1|ND4L|NADH					ATZ69324.1|ND4L|NADH				ATZ69376.1|ND4L|NADH							
N34.HOG0000009	OG0000009	n0	CEF52450.1|nad4|NADH																							ATZ69250.1|ND4|NADH					ATZ69315.1|ND4|NADH				ATZ69367.1|ND4|NADH							
N34.HOG0000010	OG0000010	n0	CEF52451.1|nad5|NADH																							ATZ69248.1|ND5|NADH					ATZ69313.1|ND5|NADH				ATZ69365.1|ND5|NADH							
N34.HOG0000011	OG0000011	n0	CEF52452.1|cob|cytochrome																							ATZ69251.1|CYTB|cytochrome					ATZ69316.1|CYTB|cytochrome				ATZ69368.1|CYTB|cytochrome							
N34.HOG0000012	OG0000012	n0	CEF52453.1|nad6|NADH																							ATZ69257.1|ND6|NADH					ATZ69322.1|ND6|NADH				ATZ69374.1|ND6|NADH							
