Orthogroup	NC_036613.1	NC_027947.1
OG0000000	YP_009449512.1|ND1|NADH	YP_009166353.1|ND1|NADH
OG0000001	YP_009449513.1|ND2|NADH	YP_009166354.1|ND2|NADH
OG0000002	YP_009449514.1|COX1|cytochrome	YP_009166355.1|COX1|cytochrome
OG0000003	YP_009449515.1|COX2|cytochrome	YP_009166356.1|COX2|cytochrome
OG0000004	YP_009449516.1|ATP8|ATP	YP_009166357.1|ATP8|ATP
OG0000005	YP_009449517.1|ATP6|ATP	YP_009166358.1|ATP6|ATP
OG0000006	YP_009449518.1|COX3|cytochrome	YP_009166359.2|COX3|cytochrome
OG0000007	YP_009449519.1|ND3|NADH	YP_009166360.1|ND3|NADH
OG0000008	YP_009449520.1|ND4L|NADH	YP_009166361.2|ND4L|NADH
OG0000009	YP_009449521.1|ND4|NADH	YP_009166362.2|ND4|NADH
OG0000010	YP_009449522.1|ND5|NADH	YP_009166363.1|ND5|NADH
OG0000011	YP_009449523.1|CYTB|cytochrome	YP_009166364.1|CYTB|cytochrome
OG0000012	YP_009449524.1|ND6|NADH	YP_009166365.1|ND6|NADH
