Orthogroup	LN589993.1	LN589994.2
OG0000000	CEF52441.1|nad1|NADH	CEF52454.1|nad1|NADH
OG0000001	CEF52442.1|nad2|NADH	CEF52455.1|nad2|NADH
OG0000002	CEF52443.1|cox1|cytochrome	CEF52456.1|cox1|cytochrome
OG0000003	CEF52444.1|cox2|C-terminal	CEF52457.1|cox2|C-terminal
OG0000004	CEF52445.1|atp8|ATP	CEF52458.1|atp8|ATP
OG0000005	CEF52446.1|atp6|ATP	CEF52459.1|atp6|ATP
OG0000006	CEF52447.1|cox3|cytochrome	CEF52460.1|cox3|cytochrome
OG0000007	CEF52448.1|nad3|NADH	CEF52461.1|nad3|NADH
OG0000008	CEF52449.1|nad4L|NADH	CEF52462.1|nad4L|NADH
OG0000009	CEF52450.1|nad4|NADH	CEF52463.1|nad4|NADH
OG0000010	CEF52451.1|nad5|NADH	CEF52464.1|nad5|NADH
OG0000011	CEF52452.1|cob|cytochrome	CEF52465.1|cob|cytochrome
OG0000012	CEF52453.1|nad6|NADH	CEF52466.1|nad6|NADH
