	KX902238.1	MG590288.1	NC_027947.1	NC_031864.1	NC_031865.1	NC_031866.1	NC_031869.1	NC_036613.1	NC_042502.1
Number of genes	13	13	13	13	13	13	13	13	13
Number of genes in orthogroups	13	13	13	13	13	13	13	13	13
Number of unassigned genes	0	0	0	0	0	0	0	0	0
Percentage of genes in orthogroups	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Percentage of unassigned genes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Number of orthogroups containing species	13	13	13	13	13	13	13	13	13
Percentage of orthogroups containing species	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Number of species-specific orthogroups	0	0	0	0	0	0	0	0	0
Number of genes in species-specific orthogroups	0	0	0	0	0	0	0	0	0
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	0	0	0	0	0	0	0	0	0
'1	13	13	13	13	13	13	13	13	13
'2	0	0	0	0	0	0	0	0	0
'3	0	0	0	0	0	0	0	0	0
'4	0	0	0	0	0	0	0	0	0
'5	0	0	0	0	0	0	0	0	0
'6	0	0	0	0	0	0	0	0	0
'7	0	0	0	0	0	0	0	0	0
'8	0	0	0	0	0	0	0	0	0
'9	0	0	0	0	0	0	0	0	0
'10	0	0	0	0	0	0	0	0	0
11-15	0	0	0	0	0	0	0	0	0
16-20	0	0	0	0	0	0	0	0	0
21-50	0	0	0	0	0	0	0	0	0
51-100	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
'2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0
'1	13	13	13	13	13	13	13	13	13
'2	0	0	0	0	0	0	0	0	0
'3	0	0	0	0	0	0	0	0	0
