Orthogroup	NC_031869.1	MG590288.1
OG0000000	YP_009318454.1|ND1|NADH	ATZ69240.1|ND1|NADH
OG0000001	YP_009318455.1|ND2|NADH	ATZ69239.1|ND2|NADH
OG0000002	YP_009318456.1|COX1|cytochrome	ATZ69236.1|COX1|cytochrome
OG0000003	YP_009318457.1|COX2|cytochrome	ATZ69242.1|COX2|cytochrome
OG0000004	YP_009318458.1|ATP8|ATP	ATZ69247.1|ATP8|ATP
OG0000005	YP_009318459.1|ATP6|ATP	ATZ69243.1|ATP6|ATP
OG0000006	YP_009318460.1|COX3|cytochrome	ATZ69241.1|COX3|cytochrome
OG0000007	YP_009318461.1|ND3|NADH	ATZ69245.1|ND3|NADH
OG0000008	YP_009318462.1|ND4L|NADH	ATZ69246.1|ND4L|NADH
OG0000009	YP_009318463.1|ND4|NADH	ATZ69237.1|ND4|NADH
OG0000010	YP_009318464.1|ND5|NADH	ATZ69235.1|ND5|NADH
OG0000011	YP_009318465.1|CYTB|cytochrome	ATZ69238.1|CYTB|cytochrome
OG0000012	YP_009318466.1|ND6|NADH	ATZ69244.1|ND6|NADH
